db_identifier,file_ext,file_name,file_dir,file_path
692ac6c7bb52fdb29757ab0d3a3a60c7,.accdb,A2009.34AP Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AP, NYSM 12189","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AP, NYSM 12189\A2009.34AP Ph I Artifact Database.accdb"
7186fe2709c8797c267d195207d3459b,.accdb,A2009.34AQ Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AQ, NYSM 12156\Phase I","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AQ, NYSM 12156\Phase I\A2009.34AQ Ph I Artifact Database.accdb"
16b2355a07199a0380efb3e671f05c10,.accdb,A2009.34AQ Ph II Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AQ, NYSM 12156\Phase II","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AQ, NYSM 12156\Phase II\A2009.34AQ Ph II Artifact Database.accdb"
ce05ea1dc89e6e96e5ee1f7a5fe93a7e,.accdb,NYSM 12159 Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AR, NYSM 12159 [collection returned to landowner]","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AR, NYSM 12159 [collection returned to landowner]\NYSM 12159 Ph I Artifact Database.accdb"
b3cd01e37414a3676ac179e0c5353c08,.accdb,A2009.34AS Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AS, NYSM 12178","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AS, NYSM 12178\A2009.34AS Ph I Artifact Database.accdb"
e36589e670d3e9d80ee5fe025a955ba1,.accdb,A2009.34AT Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AT, NYSM 12151","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34AT, NYSM 12151\A2009.34AT Ph I Artifact Database.accdb"
4924f0ae23763833259952349b0d7276,.accdb,A2009.34B Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34B, NYSM 12166\Phase I","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34B, NYSM 12166\Phase I\A2009.34B Ph I Artifact Database.accdb"
4e72edbaed78da65a2ffeebeeb302527,.accdb,A2009.34B Ph II Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34B, NYSM 12166\Phase II","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34B, NYSM 12166\Phase II\A2009.34B Ph II Artifact Database.accdb"
ddd151300a1557e5ef9046a265fa92cd,.accdb,NYSM 12167 Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34C, NYSM 12167 [collection returned to landowner]","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34C, NYSM 12167 [collection returned to landowner]\NYSM 12167 Ph I Artifact Database.accdb"
3e070b3db7271672947d895f1bb49151,.accdb,A2009.34D Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34D, NYSM 12168","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34D, NYSM 12168\A2009.34D Ph I Artifact Database.accdb"
d9d2dd7230554759abb3ec98f6607696,.accdb,A2009.34E Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34E, NYSM 12174\Phase I","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34E, NYSM 12174\Phase I\A2009.34E Ph I Artifact Database.accdb"
c2570a833e1c91c08fb743a60b267e1a,.accdb,A2009.34E Ph II Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34E, NYSM 12174\Phase II","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34E, NYSM 12174\Phase II\A2009.34E Ph II Artifact Database.accdb"
