Root_Source,File_Name,Extension,File_Path,Size_Bytes,Created_Date,Modified_Date,MD5_Hash
X:\CRSP Fieldwork 2025,9LC1.21.101 Culvert C920080 (Plymouth) (07-2025).accdb,.accdb,X:\CRSP Fieldwork 2025\9LC1.21.101 Culvert C920080 (Plymouth) (07-2025).accdb,2916352,2025-07-29 13:56:03,2026-01-29 09:44:58,6821e9dd99c195fe09bcad7c80616adc
X:\CRSP Fieldwork 2025,9LC1.21.101 Culvert C920112 (Coventry) (04-2025).accdb,.accdb,X:\CRSP Fieldwork 2025\9LC1.21.101 Culvert C920112 (Coventry) (04-2025).accdb,2916352,2025-06-12 11:45:15,2026-01-29 09:45:19,536065775aea8438e3367d645695365d
X:\CRSP Fieldwork 2025,9LC1.21.101 Culvert C920114 (Coventry) (04-2025).accdb,.accdb,X:\CRSP Fieldwork 2025\9LC1.21.101 Culvert C920114 (Coventry) (04-2025).accdb,2916352,2025-06-12 11:44:12,2026-01-29 09:45:25,8bea78960fb9dc6146daf3f2bd6a7560
X:\CRSP Fieldwork 2025,9LC1.21.101 Culvert C920181 (Columbus) (07-2025).accdb,.accdb,X:\CRSP Fieldwork 2025\9LC1.21.101 Culvert C920181 (Columbus) (07-2025).accdb,2916352,2025-07-16 08:28:20,2026-01-29 09:46:39,3835df488c275578550d1cb9e74f96cf
X:\CRSP Fieldwork 2025,9LC1.21.101 Culvert C920182 (Sherburne) (07-2025).accdb,.accdb,X:\CRSP Fieldwork 2025\9LC1.21.101 Culvert C920182 (Sherburne) (07-2025).accdb,2985984,2025-07-16 09:22:35,2026-01-29 09:46:57,dad1651133303c6fce50276a75052635
X:\CRSP Fieldwork 2025,9LC1.21.101 Culvert C960008 (Cobleskill) (07-2025).accdb,.accdb,X:\CRSP Fieldwork 2025\9LC1.21.101 Culvert C960008 (Cobleskill) (07-2025).accdb,2916352,2025-07-28 09:47:38,2026-01-29 09:47:11,4e17b0ff5de4b977da8317111d6b06de
X:\CRSP Fieldwork 2025,9LC1.21.101 Culvert C963054 (Bovina-Delhi) (04-2025).accdb,.accdb,X:\CRSP Fieldwork 2025\9LC1.21.101 Culvert C963054 (Bovina-Delhi) (04-2025).accdb,2916352,2025-04-17 09:18:04,2026-01-29 11:30:10,f96af6fcae5716eedf41504f2f7f3bda
X:\CRSP Fieldwork 2025,9LC1.21.101 Culvert C963058 (Bovina-Delhi) (04-2025.accdb,.accdb,X:\CRSP Fieldwork 2025\9LC1.21.101 Culvert C963058 (Bovina-Delhi) (04-2025.accdb,2916352,2025-04-17 09:19:12,2026-01-29 11:30:01,31d5792b583e0efdb0fdc973d609fedd
X:\CRSP Fieldwork 2025,9LC1.21.101 Culvert C970019 (Wurtsboro) (07-2025).accdb,.accdb,X:\CRSP Fieldwork 2025\9LC1.21.101 Culvert C970019 (Wurtsboro) (07-2025).accdb,2916352,2025-07-29 12:12:26,2026-01-29 09:48:15,0a3cfcfb05270ef54aec33e974a08a4f
X:\CRSP Fieldwork 2025,DEC Lake George (06-2025).accdb,.accdb,X:\CRSP Fieldwork 2025\DEC Lake George (06-2025).accdb,2916352,2025-06-05 10:51:24,2026-01-29 09:57:27,1e89acb226844f6d11cf3a6f5c4b0f83
X:\CRSP Fieldwork 2025,S935.78.101 Medina Orleans County (10-25).accdb,.accdb,X:\CRSP Fieldwork 2025\S935.78.101 Medina Orleans County (10-25).accdb,2916352,2025-10-23 09:59:20,2026-01-29 09:57:52,cb2d511021c520c9826f3058dd76ab95
X:\CRSP Fieldwork 2025,8065.12.121 Rt 17 Exits Orange County (04-2025)OLD Read Only.accdb,.accdb,X:\CRSP Fieldwork 2025\OLD\8065.12.121 Rt 17 Exits Orange County (04-2025)OLD Read Only.accdb,2301952,2025-07-28 14:48:40,2025-08-18 14:22:12,d05cdeb8656e1292abf7fc10cc6fcd71
